"PAYS";"BLOC";"PNB";"TMI";"ESP";"URB";"NAT";"MOR";"FEC";"JEU";"VIE";"SUP";"POP";"X";"Y"
"ALB";"Soc";600;43;71;34;27;6;3.3;35;5;29;3.1;4825115.44402123;1684832.97752812
"AUT";"Cap";10000;10.3;75;55;12;12;1.4;18;14;84;7.6;4299715.40265332;2335578.58574262
"BEL";"Cap";9200;9.7;75;95;12;11;1.5;19;14;31;9.9;3636312.23592556;2667242.86674806
"BGR";"Soc";2000;14.5;72;65;13;11;2;21;11;111;9;5206069.78637734;1930218.66109792
"CHE";"Cap";17800;6.8;77;61;12;9;1.5;17;14;41;6.6;3869378.28215148;2243129.72170255
"CSK";"Soc";3200;13.9;71;74;14;12;2;24;11;128;15.6;4487004.78821396;2540281.45355872
"DDR";"Soc";3700;9.2;72;77;13;13;1.7;19;14;108;16.6;4166230.95039869;2825762.18717917
"DEU";"Cap";12000;8.6;75;94;10;11;1.4;15;15;248;61.2;3962834.97168939;2640209.37593443
"DNK";"Cap";12600;8.4;75;84;11;11;1.5;18;15;43;5.1;3958432.91395535;3234283.12824235
"ESP";"Cap";4800;9;76;91;12;8;1.7;23;12;505;39;2875284.65300066;1646306.83385997
"FIN";"Cap";12200;5.8;74;62;12;10;1.6;19;13;337;4.9;4774974.24301026;4230412.26576143
"FRA";"Cap";10100;8;75;73;14;10;1.8;21;13;551;55.9;3441706.60212717;2245324.65010045
"GBR";"Cap";8900;9.5;75;91;13;12;1.8;19;15;245;57.1;3212580.40486826;3065462.98217152
"GRC";"Cap";3700;12.3;74;58;11;9;1.7;21;13;132;10.1;5058660.85374098;1535337.4790306
"HUN";"Soc";2000;19;70;58;12;14;1.8;21;13;93;10.6;4687377.16282791;2324691.7125821
"IRL";"Cap";5100;8.7;73;56;17;10;2.4;29;11;70;3.5;2838448.59648659;3068386.87172748
"ITA";"Cap";8600;10.1;75;72;10;10;1.4;19;13;301;57.3;4184346.94915812;1884241.04494546
"LUX";"Cap";16500;9.9;75;81;12;11;1.5;17;13;3;0.4;3727965.22575292;2567607.94578762
"NLD";"Cap";10000;7.7;76;89;13;9;1.6;19;12;34;14.7;3713870.90650587;2835249.78020507
"NOR";"Cap";15500;8.5;76;71;13;11;1.7;19;16;324;4.2;4124272.21556599;4101695.77266303
"POL";"Soc";2100;17.5;71;61;17;10;2.2;26;9;313;38;4622269.49052411;2851709.2455458
"PRT";"Cap";2200;15.8;73;30;12;9;1.7;23;12;92;10.3;2498762.8071694;1650959.18023738
"ROU";"Soc";1200;25.6;70;49;16;11;2.3;25;9;238;23;5120262.69046756;2251424.59109624
"SWE";"Cap";13200;5.9;77;83;12;11;1.8;18;18;450;8.4;4321587.17166692;3961395.70983769
"YUG";"Soc";2300;27.1;70;47;15;8;2.1;24;8;256;23.6;4686147.43074525;1996737.26893186
