"x";"y"
"1";346382.09;6786334.39
"2";346460.05;6786703.5
"3";346442.95;6787437.03
"4";347147.83;6788311.78
"5";348526.58;6790320.07
"6";348367.35;6791015
"7";347606.05;6791800.59
"8";348383.17;6792232.05
"9";348593.17;6792861.9
"10";348781.42;6793140.18
"11";350449.15;6793016.54
"12";351274.57;6791803.61
"13";353379.72;6792598.88
"14";354122.67;6792528.86
"15";355047.31;6793181.86
"16";355170.28;6793542.71
"17";355474.84;6793378.34
"18";355936.26;6793846.15
"19";356282.04;6793858.32
"20";356250.89;6793090.19
"21";355381.35;6791841.14
"22";355816.26;6790774.31
"23";355271.22;6789379.71
"24";355614.74;6787987.85
"25";355947.62;6787795.22
"26";355798.06;6787102.82
"27";354929.08;6786056.73
"28";353956.74;6785692.92
"29";353583.92;6785808.88
"30";352493.97;6785483.01
"31";350246.18;6785943.04
"32";350081.35;6786290.21
"33";350863.34;6787114.1
"34";350556.39;6787721.29
"35";350170.86;6787708.41
"36";347125.97;6786133.45
"37";346382.09;6786334.39
